Label: DJ_MDA-MB-468_30-1-2014
Metric: Phase Object Confluence (Percent)
Cell Type: MDA-MB-468
Passage: 1
Notes: 
Analysis Job: MDA-MB-468_30-1-2014

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
01/02/2014 09:00:00	40	30.82038	26.89776	30.50353	31.87219	31.81908	26.24433	28.74564	28.34794	30.0471	28.48979	29.56724	32.15273	31.40877	27.88786	28.33357	30.39639	31.57462	32.00407	13.66051	13.79193	13.46323	13.24819	14.47222	13.13329	15.84459	14.72574	15.06193	12.48708	12.5966	13.46406	14.32585	10.39059	12.33995	12.40167	14.26814	14.18653	7.0442	4.891964	4.982661	7.166257	8.008262	7.764491	6.842708	4.462001	5.962644	7.263241	6.317109	6.537184	6.246305	2.803554	4.07856	6.564433	6.91009	5.020998	2.400461	1.539739	2.133655	2.677145	3.612297	3.420335
01/02/2014 13:06:00	44.1	32.67743	28.8964	32.70267	34.32067	33.7588	27.88188	30.55455	30.56964	32.06761	30.50829	31.82467	34.29028	32.92436	29.41098	30.8671	32.75385	34.1092	33.92912	14.45381	14.40871	14.313	14.23429	15.02518	14.21768	16.78793	15.24957	16.04187	13.33216	13.55849	13.99294	15.30279	10.69863	12.85128	13.01272	15.37643	14.37486	7.492437	5.314123	5.05008	7.631382	7.995274	8.202986	7.259373	4.541646	6.26088	7.649929	7.356113	6.938101	6.639277	2.6405	4.138725	7.048518	7.300231	5.322309	2.617429	1.730044	2.195513	2.763076	3.775144	3.723647
01/02/2014 17:00:00	48	35.12776	29.76476	34.17398	36.28056	36.62677	30.44941	33.21943	32.87342	34.24383	33.0679	33.45684	36.79794	35.00984	31.53324	32.56966	35.21358	36.46458	35.72101	15.28359	15.36607	15.52135	15.58027	16.32585	15.4894	18.33064	16.02689	17.16947	14.56586	14.29	15.04721	17.13075	11.29317	13.94593	13.83227	16.39862	16.08549	8.140059	5.408343	5.396288	8.353709	8.944	8.698433	8.133287	4.80068	6.708976	8.299693	7.387821	7.375592	7.301304	2.856536	4.434785	7.617705	7.924818	5.654772	2.831323	1.816113	2.257888	3.093398	3.953083	3.564841
01/02/2014 21:00:00	52	38.22166	32.62295	36.23863	38.83972	39.11666	32.9819	36.38991	34.94778	36.34612	36.07212	36.30374	39.02155	37.84023	33.21611	34.68281	37.25128	39.14622	38.36227	16.49619	16.50078	17.01001	16.55639	17.10713	16.41572	20.44202	17.15955	17.89626	15.39729	15.4539	16.04944	18.30536	11.68915	15.36545	14.53484	17.31971	16.7575	8.702477	5.495067	5.592361	8.997984	9.753815	9.558188	8.692666	5.000138	6.945595	8.622036	8.213417	7.85885	8.021386	2.831599	4.689088	7.978108	8.286672	5.754275	2.937251	1.758607	2.404295	3.183714	4.237573	3.984789
02/02/2014 01:00:00	56	41.3103	34.44781	38.43135	41.52406	41.6084	35.16771	39.18666	36.02287	37.63887	37.62094	38.77822	40.57752	40.89757	35.45656	36.0275	40.51154	41.31285	41.22044	18.47693	17.39911	17.52877	18.22364	18.15405	17.33007	21.68729	17.89276	19.808	16.65896	16.53705	17.30417	19.66632	12.23993	16.38494	15.39933	18.23369	18.12973	9.197231	5.580549	5.765569	9.804894	10.20892	9.964666	9.265375	5.168753	7.39756	9.568724	8.626699	8.556761	8.756424	2.964018	5.180116	8.455218	9.092409	6.339694	3.182782	1.919105	2.437313	3.446963	4.558535	4.393409
02/02/2014 05:00:00	60	43.87577	35.7055	41.14273	43.47058	43.75463	37.13784	42.22856	37.97592	40.89602	40.29461	41.44202	43.40411	43.47618	37.01008	38.67958	42.57381	43.46799	43.3663	20.14409	18.68665	18.17895	18.80951	19.18362	18.60235	23.39585	18.76845	20.57554	17.1485	17.84037	18.03237	21.20057	12.53854	17.37635	16.54841	19.44473	19.80611	10.2369	5.846906	5.868976	10.59602	10.88825	10.56235	9.845373	5.614776	8.375298	10.28166	9.022539	9.183279	9.339703	3.126588	5.25572	9.124115	9.688674	7.07829	3.554273	1.99274	2.475132	3.614266	4.941699	4.686567
02/02/2014 09:00:00	64	46.68473	37.91859	43.03427	46.83269	45.71034	39.98156	44.58018	39.6037	43.36694	42.72891	43.49235	45.99092	45.37339	38.04066	40.68897	45.26559	46.38048	45.6528	21.50492	19.27684	19.7086	19.53425	20.53496	20.43172	25.13145	20.15487	22.42557	18.35357	18.97198	19.30382	22.4628	13.19162	18.64207	17.30796	20.88472	21.94321	11.04571	5.940262	5.938569	11.19381	11.44497	11.2662	10.84017	5.818931	8.64946	10.46381	9.848653	9.615489	10.02552	3.107351	5.82197	9.73782	10.3086	7.539546	3.593404	2.026829	2.555744	3.761846	5.384925	5.218418
02/02/2014 13:06:00	68.1	49.19779	40.6538	46.1718	49.10739	49.04813	41.7385	47.83042	41.72607	46.27645	46.72614	45.8822	48.66862	48.65412	40.8811	43.75284	46.58135	48.79283	48.9845	22.96432	21.12124	21.38411	21.16787	21.64294	21.44341	26.5398	21.43505	23.32822	19.40832	20.41532	20.42658	24.68304	13.03831	19.03718	19.38805	22.38416	22.6118	11.97872	6.032894	6.053582	11.74407	11.6924	11.89002	11.31044	6.268132	9.052551	11.39565	10.50733	10.55875	11.13506	3.093881	6.132778	10.49103	11.04992	8.161679	3.947212	2.009456	2.6835	3.919858	5.576578	5.078643
02/02/2014 17:00:00	72	52.12636	42.87476	48.56991	51.355	51.80771	43.75573	50.78511	44.17588	47.85825	49.10833	49.68101	52.07563	52.26103	42.99896	45.29122	49.22966	52.2834	51.71543	24.3692	22.46598	22.40215	22.0078	23.1405	22.93214	28.37109	22.61708	24.64712	21.02692	21.65019	22.49039	26.32063	13.45971	20.40783	20.06203	24.14743	24.04482	12.68312	6.17146	6.199884	12.78514	12.84296	12.75969	12.37197	6.441444	9.523962	12.13662	11.68183	11.33624	11.69778	3.170901	6.227723	11.06898	11.55531	8.506056	4.33162	2.116214	2.722943	4.382322	5.698427	5.404371
02/02/2014 21:00:00	76	54.49386	44.22694	50.72785	54.56962	55.63222	46.98731	53.14063	47.39403	51.11413	51.33644	51.75187	54.89545	54.06202	44.79982	47.56725	52.23564	54.68183	54.0463	26.0225	24.09938	23.13315	24.01235	25.0593	24.90945	30.29081	23.77003	26.94584	22.24048	22.2114	23.85216	28.0056	14.11472	20.99476	22.16319	25.63301	25.94344	13.78032	6.396061	6.807097	13.68348	13.3448	13.84591	13.47608	6.63344	9.669817	13.0506	12.22266	11.97823	12.8202	3.217355	6.65817	11.92708	12.4877	9.009518	4.589032	2.294878	2.960357	4.620945	6.01003	5.410173
