Label: DJ_T47D_20-12-2013_plate-2
Metric: Phase Object Confluence (Percent)
Cell Type: T47D
Passage: 1
Notes: 
Analysis Job: DJ_T47D_20-12-13_plate 2

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
22/12/2013 04:00:00	40	9.558498	10.65752	10.52311	9.81826	9.426755	9.840728	8.59254	9.9527	10.01048	8.423374	8.864889	8.196941	9.428481	9.895505	11.0995	9.090631	9.896144	9.040275	9.824355	10.69876	10.49583	11.04357	9.944323	8.828176	10.24442	10.41658	10.33904	11.8152	9.22823	9.108349	11.31812	11.03849	9.60504	9.97508	10.09869	9.470343	10.47859	10.86967	9.276686	11.25019	9.839225	8.560333	9.973179	8.856601	10.80227	10.14817	10.08616	9.309932	10.79127	10.48256	10.42053	10.81448	9.873123	10.34284	9.222616	10.03471	9.680109	9.714836	9.581761	9.274217
22/12/2013 08:00:00	44	10.21985	11.27882	11.19552	10.59497	10.19036	10.6097	9.128174	10.5247	10.57203	8.601296	9.055988	8.367507	10.09284	10.53998	11.80711	9.787262	10.46523	9.605679	10.65498	11.36543	11.03353	11.81128	10.48474	9.411645	10.86754	11.0131	11.27661	12.48359	9.72183	9.699932	11.99443	11.80314	10.36982	10.66769	10.7664	10.14596	11.08052	11.65237	9.972162	11.96014	10.61433	9.160329	10.76234	9.597199	11.68419	11.01778	10.70594	9.990811	11.40347	11.24879	11.26988	11.65499	10.48037	11.02944	9.880533	11.0006	10.32569	10.37353	10.42734	9.97154
22/12/2013 12:00:00	48	10.92849	12.37204	12.30785	11.51377	10.89003	11.25993	9.68655	11.28134	11.30096	8.722214	9.122095	8.567034	10.91315	11.22405	12.69025	10.4621	10.85709	10.3241	11.46249	12.22986	11.69516	12.58574	11.33156	9.953941	11.62541	11.84129	12.10445	13.59943	10.47258	10.33415	12.88999	12.63922	11.00012	11.41879	11.68336	10.66941	11.81236	12.52916	10.61951	12.89499	11.58507	9.910892	11.49341	10.21374	12.67533	12.05607	11.4726	10.8181	12.2411	12.04966	12.27115	12.5135	11.34209	11.73676	10.40038	11.88686	11.12069	10.87754	11.18569	10.62479
22/12/2013 16:00:00	52	11.62191	13.15838	13.18986	12.27944	11.60875	12.17562	10.49367	11.84645	11.87015	9.064985	9.321587	8.786421	11.74474	11.96715	13.42868	10.87107	11.63301	10.92641	12.40794	13.21438	12.56289	13.44712	11.99224	10.75731	12.40783	12.8268	13.0576	14.62961	11.16046	10.99055	13.94505	13.50171	11.83157	12.27124	12.43548	11.47127	12.67979	13.49155	11.61177	13.87487	12.31669	10.80273	12.44293	11.14101	13.67536	13.0659	12.27281	11.70343	13.23649	13.06962	13.34768	13.5904	12.11828	12.68421	11.2764	12.6515	11.85462	11.88873	12.11226	11.41839
22/12/2013 20:00:00	56	12.43512	14.22754	14.13867	13.20083	12.5756	13.09775	11.07446	12.64283	12.94891	9.456975	9.777212	9.078646	12.51886	12.96806	14.14045	11.58747	12.47814	11.68065	13.16512	13.95193	13.49114	14.37597	13.03396	11.53945	13.31117	13.71503	14.21181	15.58706	12.14652	11.73472	14.99247	14.51265	12.71099	13.06482	13.37625	12.41093	13.85905	14.72454	12.50131	15.22988	13.26519	11.61543	13.59261	11.93606	14.71661	13.99375	13.25277	12.63592	14.09586	14.04685	14.68291	14.7591	13.00698	13.5622	12.07173	13.51695	12.71857	12.93399	13.0495	12.4852
23/12/2013 00:00:00	60	13.17487	15.55273	15.07495	14.28575	13.33922	14.0138	11.80036	13.41529	13.75551	9.772947	10.26442	9.51904	13.32442	13.59259	15.20788	12.38392	13.29227	12.42956	14.23618	14.94666	14.44758	15.48512	13.97676	12.52861	14.45609	14.90566	15.08235	16.80974	13.07335	12.63684	16.15488	15.59159	13.59011	13.91274	14.48151	13.29707	14.80391	15.72276	13.42555	16.15519	14.16034	12.65782	14.31974	12.80207	15.87897	14.81455	14.31081	13.55358	15.33467	15.25276	15.78707	15.99169	14.04675	14.51016	13.36493	14.49032	13.72454	13.92243	14.0916	13.3786
23/12/2013 04:00:00	64	14.36944	16.79213	16.20765	15.45948	14.37714	15.04728	12.4698	14.26344	14.37148	10.06811	10.53057	9.915624	14.24308	14.67163	16.03933	13.06571	13.97026	13.16239	15.36448	16.06769	15.49665	16.53259	14.99511	13.29119	15.59283	16.09499	16.11919	17.93203	14.12013	13.62661	17.39345	16.92232	14.55007	14.92678	15.42948	14.4654	15.97401	16.79266	14.42121	17.50221	15.07218	13.2417	15.47248	13.75689	17.2519	15.86747	15.17652	14.49398	16.59868	16.43022	17.16664	17.25792	15.23753	15.64567	14.4533	15.6079	14.71054	14.7706	15.18716	14.56112
23/12/2013 08:00:00	68	15.39979	18.00771	17.45815	16.4642	15.71276	16.16641	13.28771	15.09565	15.35524	10.52688	11.18771	10.27857	15.03012	15.3853	16.88344	13.82092	14.76499	13.99677	16.33764	17.25626	16.78083	17.49805	15.98355	14.20051	16.68614	17.29481	17.39621	19.34849	15.24075	14.62751	18.48596	18.05772	15.71725	15.99844	16.51801	15.58416	17.13458	17.96455	15.63831	18.6588	16.16851	14.32867	16.69576	14.77764	18.46162	16.92872	16.39603	15.47274	18.0796	17.99819	18.35993	18.60803	16.39286	16.94212	15.5328	17.00686	15.73215	15.84231	16.41564	15.70882
23/12/2013 12:00:00	72	16.58212	19.43401	18.85365	17.81827	16.82755	17.35971	14.24666	16.13822	16.19788	10.91619	11.62373	10.71167	16.17851	16.78085	18.09908	14.72078	15.70573	15.10044	17.52825	18.51129	18.06712	18.70057	17.29002	15.16312	17.9874	18.5669	18.57342	20.42097	16.35881	15.92994	19.89737	19.49022	16.95155	17.49705	17.97776	16.83589	18.50496	19.29508	16.79787	20.1392	17.60657	15.46284	17.88037	15.67384	19.83764	18.17765	17.60802	16.82765	19.4362	19.43086	19.78072	19.85863	17.62052	18.25037	16.83039	18.18826	17.00813	17.0298	17.71752	16.9817
23/12/2013 16:00:00	76	17.85562	20.8096	20.29075	18.98658	18.29961	18.60881	15.15122	17.07188	17.12545	11.29381	11.94831	11.01417	17.29256	17.59113	19.00969	15.5629	16.51831	15.83466	18.71125	19.85909	19.24607	19.86304	18.26674	16.15298	19.24928	20.00416	20.05842	22.13655	17.63097	16.87134	21.14278	21.20522	18.11997	18.7509	19.2384	17.88209	20.08446	20.89854	18.29536	21.63543	19.06343	16.62586	19.44388	16.77712	21.24331	19.89602	19.08096	18.21103	21.0153	21.11262	20.89894	21.13307	19.26883	19.74117	17.95795	19.55346	18.22193	18.33632	19.09099	17.97403
